,Estimate,Pr...t..,Estimate.1,Pr...t...1,Estimate.2,Pr...t...2,Estimate.3,Pr...t...3,Estimate.4,Pr...t...4
,0.0088,,0.0070,,0.0069,,0.0069,,0.0069,
2015,-0.0012,0.8871,-0.0272,0.0002,-0.0265,0.0002,-0.0271,0.0002,-0.0264,0.0002
,0.0087,,0.0072,,0.0071,,0.0072,,0.0071,
2016,0.0028,0.7468,-0.0303,0.0000,-0.0296,0.0001,-0.0303,0.0000,-0.0296,0.0001
,0.0088,,0.0074,,0.0074,,0.0074,,0.0074,
2017,0.0008,0.9282,-0.0283,0.0001,-0.0275,0.0002,-0.0283,0.0001,-0.0275,0.0002
,0.0090,,0.0074,,0.0074,,0.0074,,0.0074,
2018,0.0048,0.5903,-0.0305,0.0001,-0.0296,0.0001,-0.0305,0.0001,-0.0296,0.0001
,0.0090,,0.0076,,0.0075,,0.0076,,0.0075,
2019,-0.0025,0.8218,-0.0249,0.0004,-0.0242,0.0006,-0.0249,0.0004,-0.0242,0.0006
,0.0113,,0.0070,,0.0070,,0.0070,,0.0070,
,,,,,,,,,,
r.squared,0.540574543,,0.688252641,,0.689452465,,0.688097665,,0.689163417,
adj.r.squared,0.53497982,,0.684456291,,0.685670726,,0.684299428,,0.685378157,
statistic,324.1365327,,207.1849624,,208.6930734,,207.171433,,208.5404241,
p.value,4.94329E-49,,1.01618E-26,,5.36199E-27,,1.02202E-26,,5.72064E-27,
deviance,1.743417755,,1.634062899,,1.632798928,,1.634771077,,1.634688106,
df.residual,2792,,2792,,2792,,2792,,2792,
nobs,2827,,2827,,2827,,2827,,2827,
